#pedestal results (fit to a gaussian) remove channels/sca with two pedestals peaks from the analysis results_pedestal/gridpoints/Pedestal_dif_1_1_5.txtnew
#chip channel ped0 eped0 widthped0 ped1 eped1 widthped1... ped14 eped14 widhtped14 (all SCA)
0 39 307.885  0.0718966 3.32056 322.25  0.0821069 3.37015 297.792  0.0807337 3.21117 308.628  0.0834023 3.21617 312.061  0.0884204 3.41831 309.723  0.085236 3.22314 306.75  0.0870163 3.21663 308.432  0.0872589 3.25087 311.018  0.0931661 3.28892 311.721  0.0931184 3.29745 307.984  0.0965011 3.22259 304.435  0.0945122 3.02276 308.825  0.103044 3.20332 305.172  0.103281 3.11206 313.115  0.0868509 3.07423 
0 40 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 
0 41 316.101  0.0638645 3.07972 321.478  0.0753277 3.01257 302.609  0.0730191 2.93639 315.001  0.0729928 3.04559 311.324  0.0816523 3.21631 307.951  0.0807934 3.13333 318.368  0.0810308 2.99861 311.963  0.082388 3.04579 314.406  0.0823234 2.91139 317.587  0.0807536 2.84887 308.037  0.0880296 3.04503 308.715  0.092558 2.97904 316.648  0.0914124 2.88232 314.511  0.0992798 2.97175 305.786  0.0911534 2.99844 
0 42 312.328  0.0618041 2.89607 320.113  0.0762589 3.07348 306.145  0.0727261 3.05427 315.878  0.074738 3.09299 314.712  0.08351 3.17707 310.02  0.0821824 3.14484 310.503  0.0786367 2.88047 311.723  0.0821578 2.85573 314.664  0.0821308 2.90726 306.348  0.0870685 2.97474 311.379  0.086862 2.92261 310.388  0.0895961 2.88216 321.134  0.099344 3.11577 312.968  0.0980144 3.01943 319.332  0.0855271 2.90396 
0 43 302.414  0.0667189 3.0615 321.905  0.0750778 3.09525 304.588  0.0713997 2.93241 311.717  0.0809401 3.25202 308.527  0.079493 3.23061 311.405  0.0831377 3.06794 306.446  0.085315 3.08426 305.616  0.0864663 3.06653 312.545  0.0823957 2.92414 309.722  0.0913731 3.14686 309.516  0.0864542 2.87581 316.941  0.0967763 3.071 318.624  0.0933458 2.91323 312.265  0.101264 2.99208 308.479  0.0889933 2.97766 
0 44 312.558  0.0645345 2.9661 328.839  0.0771461 3.0261 306.446  0.0739495 2.74333 311.253  0.0801591 3.19526 322.765  0.079735 3.16369 311.74  0.0810984 3.14588 312.878  0.0809663 3.06821 316.992  0.0814244 3.01049 316.059  0.0836266 3.04042 314.599  0.0821872 2.73017 311.101  0.0858734 2.79772 315.085  0.0923933 2.9867 313.98  0.0924468 2.83322 317.887  0.096325 2.99416 308.169  0.0845524 2.93428 
0 45 304.498  0.0655783 3.04287 327.718  0.0737336 2.91177 309.62  0.0727503 2.92244 315.711  0.0773119 3.06389 309.761  0.0794548 3.1295 302.123  0.0799981 2.86763 308.374  0.0782074 2.92941 313.556  0.0790337 2.88741 310.026  0.0815214 3.01038 305.723  0.0868167 2.9214 315.602  0.0863298 2.90609 307.582  0.0909554 2.96927 315.381  0.0897944 2.87439 313.801  0.0988719 2.86452 311.833  0.0873432 2.99485 
0 46 312.942  0.0701078 3.27659 321.828  0.0782806 3.16724 301.269  0.0784557 3.14373 310.695  0.0808559 3.34577 305.312  0.0856007 3.4105 306.726  0.0858305 3.2443 317.684  0.0896246 3.26708 313.223  0.0871662 3.13232 311.997  0.0899192 3.18302 312.037  0.0898912 3.11154 312.019  0.0934903 3.11792 311.309  0.0955479 2.99028 317.677  0.105346 3.27181 318.258  0.0993451 2.93331 313.898  0.096433 3.21069 
0 47 308.716  0.0638188 2.93883 324.755  0.0756808 3.01724 307.896  0.0725695 3.05376 317.066  0.0746408 3.08168 310.313  0.0809979 3.08252 310.864  0.0804345 3.12999 319.711  0.0788868 2.92548 309.561  0.0831553 3.00329 317.092  0.0851818 2.90606 317.416  0.0851322 2.94689 327.968  0.0911732 3.07342 318.833  0.0887793 2.88703 310.307  0.0973443 3.02146 318.647  0.0988692 2.93492 311.68  0.0876562 2.92942 
0 48 303.223  0.0625226 2.94576 315.479  0.0731847 2.97032 302.341  0.0699865 2.86179 309.737  0.0786636 3.20914 309.03  0.0775938 3.11109 313.736  0.0825646 3.08467 306.801  0.0805649 2.95258 307.034  0.0828384 2.92798 313.356  0.0808968 2.88812 309.076  0.0826435 2.7666 309.772  0.0882028 2.93032 309.194  0.0901826 2.81856 306.989  0.0947057 2.85351 305.68  0.0941204 2.84984 304.065  0.0854329 2.92405 
